시험,대하,말씀,드리,중간,만점,나오,하,기말,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그냥,교수,님,눈,띄,학점,잘,받,강의,중간,기말,글쓰기,숙제,중요,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우선,재승,이,형,일부러,웃,기,하,않,것,같,재미있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강의,내용,어렵,않,여,타,교양,토론,한번,시험,한,번,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
적어도,2,학점,되,하,생각,들,강의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전,3,번,나누,시험,보,데,한,번,보,힘들,접근,하,푸,방식,이론,예제,문제,풀,끝,조금,힘들,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학생,들,다양,하,의견,들,보,특유,똥,고,집,어깨,들썩이,나,의견,맞,결론,내서,항상,불편,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
총,3,번,시험,보,데,한,번의,시험,평균,이하,나오,낮,점수,받,A,받,힘들,보이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그냥,느끼,점,끄적이,말,그대로,러시아,이해,하,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다만,이,강의,이미,꿀,소문,많이,나,엄청나,대형,강의,출,결,엄격,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
위,두,개,없,강의,내내,고통,받,것,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출석,감점,크,잘,챙기,하,듯,하,시험,문제,다,알리,주,전체적,부담,없,과목,그만큼,강의,분위기,엉망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오승일,교수,님,덕분,즐겁,중국어,배우,수,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
숙제,팀,프로젝트,강의,시간,하,편하,시험,열심히,공부,하,다,풀,수,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
몰리,있,시험,기간,시험,3,일,저,갑자기,발표,시키,등,학생,개인,사정,전혀,고려,하,않,철저히,자,위주,자기,편,한데,강의,진행,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도서관,책,빌리,보,것,중요,프로그래밍,숙제,중요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대형,강의,조금,말,열심히,하,학점,잘,받,생각하,생각,열심히,하,학생,많,근소,하,점수,차이,안,많,사람,들,있,학점,받,그렇게,수월,하,않,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유익,하,내용,있,최근,헌재,위헌,판결,되,내용,들,알,되,강의,자체,나쁘,않,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
특히,철학,입문,하,1,학년,적합,하,생각,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,학점,강의,나,3,학점,듣,있,것,가,생각,하,하,주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
필수,필수,답,열심히,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교양,과목,다,들,열심히,하,분위기,학점,조금,걱정,하,다행,히,하,만큼,나오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔직히,팀,프로젝트,하,강의,따로,모임,없이,그,자리,다,하,수,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,초수,강이,다,어떻하,족,보,구하,수강,신청,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강의,2,시간,1,시간,학생,들,발표,듣,450,분,책,읽,주,끝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운영체제,함께,듣,겹치,부분,많,이해,하,쉽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교수,님,친절,하,좋,강의,듣기,힘들,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
법대,복전,생각,경험,삼,듣,보,교수,님,좋,많이,배우,가,수,있,좋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
씨,언어,이미,어느,정도,하,더,깊,이해,하,수,있,것,아예,노,베이스,힘들,하,열심히,참여,하,의미,있,강의,되,것,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자신,성격,완벽,주의,형,아니,등,여부,따르,공부,방식,달리,하,공부,방식,살짝,다르,하,좋,결과,얻,것,같,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최고,교수,님,강의,재미있,시험,기간,앞뒤,휴강,많,학점,잘,주심,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
처음,영어,강의,하,힘들,별로,뒤,갈수록,좋,분,느낌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보,이해,후반,갈수록,얻,것,많,강의,질문,잘,받,주,시험,예상,쉽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,출,결만,잘하,되,점,깔,없,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코딩,잘하,사람,확실히,유리,하,한데,나,코딩,못하,디지,공,배우,것,들,코드,충분히,이해하,수,있,손,코딩,하,만,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수능,수학,전체,다,알리,주,시험,수,1,수,2,내,느낌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그냥,좋,점,강의,시간,애,들,떠들,수,있,것,뿐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대신,영어,듣기,암기,빡,세,점,기억,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강의,지루,강의,학생,들,맡기,강의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
싶,부분,나오,A,+,받,싶,그런,것,까지,꼼꼼히,보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무엇,설명,하,때,풀,쉽,이해,시키,주,못하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
숙제,매주,있,학점,잘,주,아래,글쓴이,숙제,매주,성실히,안,하,밀리,저러,것,같,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
재미있,잘,하,성격,좋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예술,작품,좋아하,즐겁,시간,아니,지루,하,것,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔직히,온라인,미리,듣,예습,말,해,가,나름,무난,하,강의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중간,쉽,사흘,정도,넉넉잡,공부,하,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시험,같,경우,그냥,세세,하,부분,다,외우,가,금세,풀,수,있,생각,다,들,열심히,하,학점,관리,하,빡,세,듯,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교수,님,공지,사항,자주,안부,물,주,좋,말,들,많이,하,주,보,좋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수많,훌륭,하,업적,민망,하,만큼,강의,력,당신,무엇,상상,하,그,이상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
토론,발표,강의,좋아하,적성,맞,듯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
패,페인,것,좋,짜,잘,짜,잘,하,숙제,들,많,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꿀,하,교수,님,죄송,스럽,표현,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강의,난이도,학생,들,수준,비하,어렵,잘,따라가,유익,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
등록금,전혀,아깝,않,강의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도,같이,이야기,하,주,흥미,로웠,것,같,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기초,교수,님,듣,주변,잘,하,친구,들,물어보,자신,있,독학,강의,내용,마스터,하,것,추천,온라인,강의,어차피,출,결도,중요,하,들어가,그때그때,공부,하,듣,것,좋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그래도,상담,해주시,저,고등학교,담임,선생,님,같,좋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강의,방식,책,소개,발표,토론,크,비중,차지,하,교수,님,강의,학생,들,발표,더,많,강의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강의,력,호불호,많이,갈리,데,개인적,저,좋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주관식,길,쓰,것,OX,문제,비중,없이,조금,나오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
